name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence,mood
,,,,,,,,,,,
Catching Feelings (feat. Six60),Drax Project,02VHspkXhhH1QCInRWWIfr,0.397,0.524,0.552740724,0.103,0.607,175.562,0.157,0.343,1
,,,,,,,,,,,
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,6f5ExP43esnvdKPddwKXJH,0.717,0.671,0.638941823,0.0337,0.0018,110.054,0.0921,0.699,1
,,,,,,,,,,,
Sheesh!,Surfaces,3ddNKnYpVx0uI8vcwbTQ5Y,0.743,0.832,0.766730187,0.0611,0.161,149.951,0.0925,0.801,1
,,,,,,,,,,,
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,0.824234951,0.126,0.0076,122.98,0.303,0.801,1
,,,,,,,,,,,
Butter,BTS,3VqeTFIvhxu3DIe4eZVzGq,0.759,0.459,0.626611366,0.0948,0.00323,109.997,0.0906,0.695,1
,,,,,,,,,,,
Get To Know You,Samantha Harvey,3oiLlbBynuErymca4Dwp5H,0.761,0.695,0.754287636,0.0886,0.0783,118.004,0.14,0.69,1
,,,,,,,,,,,
MONTERO (Call Me By Your Name),Lil Nas X,3BZEcbdtXQSo7OrvKRJ6mb,0.61,0.508,0.459029257,0.152,0.297,178.818,0.384,0.758,1
,,,,,,,,,,,
Dancing Feet (feat. DNCE),Kygo,4RAR8g8fZNB106ezUurnE0,0.75,0.797,0.667077682,0.118,0.293,105.949,0.392,0.523,1
,,,,,,,,,,,
2step,Ed Sheeran,2SUxn2O9NHL6GHGQFgwCY0,0.763,0.661,0.581212869,0.056,0.169,95.002,0.117,0.632,1
,,,,,,,,,,,
Lean On Me,Sandro Cavazza,43Hit5V2BpPq2vxvca3ysc,0.799,0.419,0.312408923,0.174,0.412,156.055,0.203,0.716,1
,,,,,,,,,,,
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,78nplE9X2ZGvQh3TKgvldE,0.67,0.743,0.648357807,0.0393,0.237,125.944,0.465,0.571,1
,,,,,,,,,,,
Best Is Yet To Come (with Kyle Reynolds),Gryffin,2gZwBmkSmsVfEPFWGuWTDk,0.569,0.85,0.769308374,0.0369,0.0148,122.042,0.245,0.551,1
,,,,,,,,,,,
Fancy Like,Walker Hayes,3ZozFqJJlDBNIm4xqxn2ZD,0.649,0.76,0.480887793,0.0574,0.114,80.018,0.317,0.843,1
,,,,,,,,,,,
Watermelon Sugar,Harry Styles,1e9oZCCiX42nJl0AcqriVo,0.548,0.816,0.736240332,0.0465,0.122,95.39,0.335,0.557,1
,,,,,,,,,,,
One Too Many,Keith Urban,5NUXE8W12lWcUXgJRCjeEw,0.697,0.535,0.478982177,0.068,0.247,82.959,0.569,0.594,1
,,,,,,,,,,,
Starstruck,Years & Years,2WJVFqVQ3ivhAoAQWzEzeL,0.555,0.879,0.929604304,0.0983,0.011,113.852,0.298,0.691,1
,,,,,,,,,,,
Never Go Wrong,Nicky Youre,2K036A2TOlSr13Ej8s6ODk,0.587,0.84,0.484474835,0.115,0.0719,164.996,0.276,0.932,1
,,,,,,,,,,,
I Don't Care (with Justin Bieber),Ed Sheeran,3HVWdVOQ0ZA45FuZGSfvns,0.798,0.675,0.642977245,0.0442,0.0912,101.956,0.0894,0.842,1
,,,,,,,,,,,
Year of the Young,Smith & Thell,6J7U49QGecWb3WqIqfSYc0,0.611,0.88,0.471471808,0.0378,0.000817,144.996,0.0598,0.771,1
,,,,,,,,,,,
Señorita,Shawn Mendes,0TK2YIli7K1leLovkQiNik,0.759,0.54,0.531106378,0.0287,0.037,116.947,0.0945,0.75,1
,,,,,,,,,,,
You Need To Calm Down,Taylor Swift,29fRTIKsJhLUJoldM89GZS,0.768,0.678,0.579867728,0.0505,0.00838,85.025,0.0596,0.706,1
,,,,,,,,,,,
My Universe,Coldplay,3FeVmId7tL5YN8B7R3imoM,0.588,0.701,0.491761013,0.0402,0.00813,104.988,0.2,0.443,1
,,,,,,,,,,,
